Xpos(316/1364),Ypos(95/1028)
965.20053989,339.470928132
970.892081752,338.653756386
976.433623615,337.996392262
981.798829902,337.481733237
986.963297007,337.090017659
991.92702493,336.821245528
996.690013671,336.675416846
1001.25226323,336.652531611
1005.61377361,336.752589823
1009.7745448,336.975591483
1013.73457682,337.321536591
1017.49386965,337.790425147
1021.0524233,338.38225715
1024.41023777,339.097032601
1027.56731305,339.934751499
1030.52364916,340.895413845
1033.27924608,341.979019639
1035.83410382,343.18556888
1038.18822238,344.515061569
1040.34160175,345.967497706
1042.29424195,347.54287729
1044.04614296,349.241200322
1045.59730479,351.062466802
1046.94772744,353.006676729
1048.0974109,355.073830104
1049.04635519,357.263926926
1049.79456029,359.576967196
1050.34202621,362.012950914
1050.68875295,364.571878079
1050.83474051,367.253748692
1050.77998889,370.058562753
1050.52449808,372.986320262
1050.06826809,376.037021218
1049.41129892,379.210665621
1048.55359057,382.507253472
1047.49514303,385.926784771
1046.23595632,389.469259518
1044.77603042,393.134677712
1043.09316107,396.900835088
1041.16758663,400.74332804
1038.98220456,404.635820992
1036.52275886,408.550334937
1033.77799621,412.45755398
1030.73978927,416.32714653
1027.40813805,420.159112587
1023.78304255,423.953452152
1019.86450277,427.710165224
1015.65251872,431.429251804
1011.14709038,435.11071189
1006.34821776,438.754545484
1001.25590086,442.360752585
995.87013968,445.929333193
990.19093422,449.460287309
984.218284481,452.953614931
978.218284481,456.409316061
972.218284481,459.827390699
966.218284481,463.207838843
960.218284481,466.550660495
954.218284481,469.855855654
948.218284481,473.12342432
942.218284481,476.353366493
936.218284481,479.545682174
930.218284481,482.700371362
924.218284481,485.817434057
918.218284481,488.89687026
912.218284481,491.938679969
906.218284481,494.942863186
900.218284481,497.90941991
894.218284481,500.838350142
888.218284481,503.729653881
882.218284481,506.583331126
876.218284481,509.39938188
870.218284481,512.17780614
875.9248402,509.361755387
881.33795164,506.508078141
886.457618799,503.616774402
891.283841678,500.687844171
895.816620277,497.721287447
900.055954596,494.71710423
904.001844634,491.67529452
907.654290393,488.595858318
911.013291871,485.478795622
914.078849068,482.324106434
916.850961986,479.131790754
919.329630623,475.90184858
921.51485498,472.634279914
923.406635057,469.329084755
925.004970854,465.986263103
926.309862371,462.605814959
